symmetry_angle,area_ratio,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,circle_R_mean,circle_G_std,circle_B_median,aspect_ratio,eccentricity,compactness,roundness,orientation,solidity,edge_density,glcm_homogeneity,glcm_energy,inscribed_circle_radius,wings_body_ratio,central_rgb_variation,ID,bug_type,species
45.0,0.506544070804514,5,208,68.04751023249808,56.0,47.93924100148832,3,199,54.83985087783324,37.0,45.28835955779891,0,193,39.86166897798539,24.0,36.227539994619065,43.86538424247125,23.41071441598148,16.0,1.087241264621099,0.3924834742242959,324.206108015558,0.0387604375848345,1.060969998423143,0.6470385224581136,0.0175282416189327,0.912845791002876,0.5040857042627094,128.1288414058287,2.453362704410597,42.03370243226962,1,Bee,Apis mellifera
36.59631378752006,0.4318311994609164,2,248,63.72182885676946,55.0,42.12142537028327,2,251,52.00859227183178,34.0,42.82417148563122,0,244,35.67572219946555,19.0,34.57249459018058,47.62578424884183,23.8344907706058,11.0,1.2446846433749212,0.5954176346237844,309.4693737444874,0.0406061849103509,1.3225988669433022,0.5653430080610479,0.0145864542610255,0.9385744919911084,0.5822142062858164,109.65856099730654,4.428288710181921,44.63580638861136,2,Bee,Apis mellifera
16.92939696899788,0.448143262987013,3,255,107.16541956274008,114.0,58.773790261029895,0,255,87.77819096349627,86.0,60.05783595517872,0,255,63.37253692257767,52.0,54.8224666733894,87.23047940112042,43.63984880455247,18.0,1.0302327208850997,0.2404784641187176,218.15997321509823,0.0576016325504824,-0.4710389486767022,0.6272669175601789,0.0212228342513566,0.0,0.0,179.17589123540031,4.255206589653071,53.738154394053765,3,Bee,Apis mellifera
3.5412173196371954,0.4273901033558208,5,219,87.5494458585635,88.0,46.31404842692584,3,213,70.98628322081865,61.0,46.06838549746201,0,201,50.38663736541715,36.0,37.41529918975786,68.74780041507118,24.57286238761261,18.0,1.4756782441929344,0.7353804329301628,351.45260184680205,0.0357555202275521,-1.4315634902369745,0.6087434386675419,0.0164433872021819,0.9312140199746194,0.5744935889985093,104.34557968596464,8.245691867657488,39.44327728742662,4,Bee,Apis mellifera
10.298319778692324,0.3962208044982699,6,255,123.1543699256328,134.0,62.35163189922304,0,250,100.87167906119944,91.0,63.02067974773602,0,245,80.91900570830775,63.0,60.61350165520314,90.9713513295404,31.836262245526694,21.0,1.316818486995131,0.6506169115645022,239.98673017239088,0.0523627727471944,-1.1922841704374303,0.5670706700747737,0.0237875960834666,0.9217327173067558,0.601839099397688,88.81441324469807,7.871959942563044,71.49921391204634,5,Bee,Apis mellifera
-45.0,0.439750744047619,7,201,100.42404438616528,109.0,49.633553121210376,4,199,84.32272323505774,78.0,51.35771431423214,0,204,68.30593742509483,55.0,48.96519016320326,77.68448134721085,24.69810219471758,23.0,1.5511909824989203,0.7644644006510309,181.7859760113534,0.0691272830285563,1.3629852818199757,0.6366974288997415,0.01711009467297,0.9280647569948196,0.5610952192736174,73.78346698278686,7.293714936742464,40.30881241548922,6,Bee,Apis mellifera
45.0,0.4786797086720867,11,238,91.57276600763709,87.0,41.357830710126805,9,234,72.71503973343948,70.0,36.72961629244075,4,223,50.97657275126424,42.0,34.684918172706126,106.67204101344824,26.244518572398,36.0,2.296524364375689,0.9002174536330694,190.17363414577832,0.0660784060356462,-0.3401466370719932,0.7140962066896182,0.0144022904120952,0.9199504849996688,0.5203434596658383,113.37107214805724,2.35952768228242,46.22649650602665,7,Bee,Apis mellifera
45.0,0.3283383467515999,4,168,55.44402654122085,46.0,35.52406748615802,4,171,43.03551179422695,31.0,35.36945688988881,3,183,36.65892173483479,24.0,37.0618365316326,60.644894358802034,15.530703004217058,18.0,2.0591937607783355,0.8741661504526851,202.0082935643877,0.062207201460042,0.7762734271364715,0.5857894961838086,0.0116553155878345,0.9615222189726244,0.6771590861386457,87.05170877128145,6.482592571259976,55.94229480850729,8,Bee,Apis mellifera
0.2720057420529593,0.4269275284900284,6,255,87.59604122134752,93.0,52.74442970394384,3,255,71.36752805148613,64.0,51.89940928624071,0,254,68.21995724936134,57.0,54.63248148173798,160.80118232731795,30.18015158554767,128.0,1.165444079847068,0.5135794785864793,232.1236470066316,0.0541365379030089,-0.4567587056419029,0.6854165012308425,0.0215750315139563,0.9187489177563416,0.5752452769233358,32.0,52.66163802931798,59.36659315539095,9,Bee,Apis mellifera
-39.05684973220563,0.5375744047619048,4,255,82.9626033439869,80.0,52.42815186923664,0,255,63.61674106553264,48.0,48.94021772637199,0,255,60.416968224200325,44.0,50.82316751657229,99.15903718031376,34.20613664272404,49.0,1.1357646072758398,0.4741127617648923,156.29485472128297,0.0804016910010793,-1.0298927457046791,0.6829563084027853,0.0217765608860792,0.0,0.0,77.0,19.32533982295856,61.73965695515867,10,Bee,Apis mellifera
